time,value
281,330.92004
282,340.86087
283,294.55624
284,341.18207
285,276.01846
286,299.22562
287,306.65765
288,298.5433
289,281.68402
290,284.83282
291,277.755
292,273.79868
293,293.19165
294,283.95303
295,266.7151
296,289.48978
297,279.88
298,287.13367
299,284.45462
300,263.04382
301,267.93945
302,288.80173
303,288.37283
304,280.88773
305,285.28482
306,305.33054
307,280.22375
308,300.49786
309,292.68347
310,296.07327
311,319.60376
312,319.41113
313,323.22595
314,334.64514
315,319.42404
316,333.35074
317,322.40674
318,335.75052
319,332.6134
320,339.512
321,350.25555
322,332.07346
323,378.46893
324,334.4201
325,333.392
326,370.71765
327,366.59198
328,365.0665
329,365.72485
330,356.31277
331,342.83484
332,356.83078
333,344.54572
334,367.95917
335,349.38974
336,337.1282
337,342.27808
338,350.57883
339,332.94034
340,325.83
341,338.37427
342,334.77255
343,319.73315
344,316.40918
345,323.03024
346,293.88
347,290.55807
348,297.01886
349,300.8153
350,305.03632
351,319.02985
352,306.49756
353,288.2062
354,287.5629
355,270.35132
356,282.976
357,277.13345
358,284.87732
359,266.57956
360,286.11905
361,301.05713
362,276.57132
363,284.76373
364,290.01935
365,274.963
366,286.02924
367,284.89926
368,288.55417
369,278.18536
370,293.12613
371,303.4636
372,321.2213
373,317.49506
374,339.21088
375,299.32782
376,327.92682
377,321.63565
378,355.77573
379,314.80713
380,318.2589
381,325.66855
382,306.44977
383,333.8787
384,333.6089
385,350.22488
386,355.7815
387,381.1706
388,369.32074
389,348.09088
390,344.5756
391,366.3528
392,339.6988
393,387.10376
394,377.0536
395,351.65817
396,331.94348
397,376.5152
398,352.69232
399,370.83618
400,530.0166
401,539.5182
402,545.0584
403,544.91864
404,539.34607
405,549.4351
406,531.8595
407,540.4178
408,542.335
409,545.55963
410,546.8154
411,527.746
412,522.96155
413,550.415
414,540.32983
415,528.9309
416,551.384
417,536.54016
418,546.7479
419,535.26776
420,554.9087
421,551.6386
422,531.45844
423,543.6082
424,540.3743
425,547.7196
426,524.58167
427,541.3735
428,545.46216
429,517.73615
430,524.01416
431,516.05133
432,534.4155
433,545.01465
434,553.6501
435,540.20575
436,556.6331
437,527.46436
438,525.1781
439,542.62274
440,547.99646
441,544.8088
442,525.43494
443,546.1765
444,534.9576
445,555.6012
446,553.4321
447,541.18066
448,546.19836
449,541.4399
450,552.0313
451,562.7613
452,543.825
453,559.1118
454,549.0712
455,546.65845
456,553.63965
457,544.3891
458,549.1457
459,542.5544
460,573.9437
461,554.32776
462,546.5758
463,555.23474
464,551.4229
465,549.7233
466,557.404
467,558.1167
468,544.4739
469,543.2244
470,545.4111
471,524.3058
472,531.3303
473,559.31134
474,561.26526
475,541.52026
476,549.0023
477,545.6154
478,572.6065
479,552.3849
480,539.3456
481,530.5761
482,523.6512
483,541.4173
484,531.5738
485,524.7607
486,532.4578
487,528.14465
488,555.9655
489,548.1418
490,539.5735
491,554.87506
492,541.36346
493,532.57904
494,557.1085
495,548.02954
496,533.10254
497,542.4705
498,536.57324
499,532.5051
500,556.638
501,567.5436
502,535.5574
503,556.27686
504,545.2454
505,547.9757
506,547.9986
507,546.32874
508,556.461
509,548.62506
510,560.5409
511,558.17035
512,557.0467
513,551.044
514,554.94934
515,568.777
516,566.64246
517,552.1686
518,563.1465
519,569.7728
520,545.5669
521,567.5933
522,555.33075
523,567.3613
524,553.62585
525,542.7221
526,543.92285
527,560.0278
528,561.4214
529,548.9947
530,563.5827
531,539.69495
532,554.72675
533,542.3291
534,546.9572
535,552.98114
536,542.9405
537,546.75323
538,559.743
539,543.0299
540,556.322
541,535.89124
542,551.7755
543,560.2567
544,520.5702
545,536.8521
546,550.2211
547,542.1492
548,547.72437
549,537.91345
550,544.8686
551,542.6053
552,556.1091
553,547.3531
554,548.66864
555,541.7602
556,541.6874
557,543.01495
558,552.1483
559,544.93604
560,553.0564
561,571.9872
562,561.07117
563,550.26855
564,566.74133
565,551.8695
566,536.79956
567,548.3287
568,540.91724
569,557.3013
570,562.15643
571,579.84644
572,567.4047
573,562.93176
574,574.32886
575,544.75183
576,569.9565
577,575.94824
578,553.98926
579,580.6398
580,572.9023
581,565.56494
582,576.13007
583,592.4774
584,571.4421
585,571.8453
586,564.39905
587,560.0182
588,576.24365
589,558.7093
590,567.2292
591,560.90216
592,569.56476
593,567.1485
594,573.1755
595,556.6503
596,557.9757
597,549.7961
598,554.04724
599,561.1787
